Phase,lrw,lrs,1-shot (Accuracy ± Confidence),5-shot (Accuracy ± Confidence)
Val,5,5,73.47 ± 0.40,87.27 ± 0.23
Test,5,5,68.70 ± 0.22,84.20 ± 0.15
Val,5,10,70.26 ± 0.39,85.53 ± 0.24
Test,5,10,68.69 ± 0.22,84.77 ± 0.14
Val,5,15,69.76 ± 0.37,85.74 ± 0.24
Test,5,15,67.13 ± 0.21,84.88 ± 0.14
Val,5,20,72.11 ± 0.37,87.60 ± 0.23
Test,5,20,67.76 ± 0.21,85.09 ± 0.14
Val,5,25,72.80 ± 0.39,86.95 ± 0.23
Test,5,25,66.10 ± 0.21,83.78 ± 0.15
Val,5,30,72.20 ± 0.38,87.13 ± 0.23
Test,5,30,68.49 ± 0.22,84.65 ± 0.15
Val,5,40,74.80 ± 0.39,88.41 ± 0.22
Test,5,40,68.41 ± 0.22,84.76 ± 0.14
Val,10,5,72.20 ± 0.39,86.58 ± 0.24
Test,10,5,68.19 ± 0.21,85.04 ± 0.15
Val,10,10,73.59 ± 0.39,87.40 ± 0.23
Test,10,10,66.62 ± 0.21,83.08 ± 0.15
Val,10,15,73.16 ± 0.39,87.29 ± 0.23
Test,10,15,68.25 ± 0.21,85.08 ± 0.14
Val,10,20,73.23 ± 0.38,86.98 ± 0.23
Test,10,20,69.17 ± 0.21,85.14 ± 0.15
Val,10,25,71.18 ± 0.40,86.49 ± 0.24
Test,10,25,65.96 ± 0.21,83.11 ± 0.16
Val,10,30,73.13 ± 0.39,87.48 ± 0.23
Test,10,30,67.04 ± 0.21,84.23 ± 0.15
Val,10,40,73.88 ± 0.39,87.36 ± 0.23
Test,10,40,69.23 ± 0.21,85.46 ± 0.14
Val,15,5,73.16 ± 0.38,87.39 ± 0.23
Test,15,5,65.97 ± 0.22,82.75 ± 0.15
Val,15,10,72.74 ± 0.38,87.27 ± 0.22
Test,15,10,66.56 ± 0.21,84.02 ± 0.15
Val,15,15,71.53 ± 0.38,86.71 ± 0.24
Test,15,15,69.39 ± 0.21,86.42 ± 0.13
Val,15,20,72.77 ± 0.40,86.96 ± 0.23
Test,15,20,66.25 ± 0.21,83.21 ± 0.15
Val,15,25,74.33 ± 0.38,87.82 ± 0.23
Test,15,25,67.15 ± 0.21,83.73 ± 0.14
Val,15,30,73.58 ± 0.38,87.50 ± 0.22
Test,15,30,68.52 ± 0.21,85.47 ± 0.14
Val,15,40,73.04 ± 0.38,87.51 ± 0.22
Test,15,40,68.16 ± 0.21,85.63 ± 0.14
Val,20,5,73.95 ± 0.39,87.91 ± 0.23
Test,20,5,67.62 ± 0.21,84.26 ± 0.15
Val,20,10,73.06 ± 0.38,87.39 ± 0.23
Test,20,10,67.68 ± 0.21,85.45 ± 0.14
Val,20,15,73.70 ± 0.39,87.07 ± 0.24
Test,20,15,67.06 ± 0.21,83.83 ± 0.15
Val,20,20,73.72 ± 0.38,87.68 ± 0.22
Test,20,20,67.57 ± 0.22,83.49 ± 0.15
Val,20,25,72.78 ± 0.39,87.54 ± 0.23
Test,20,25,68.17 ± 0.21,85.35 ± 0.14
Val,20,30,72.18 ± 0.38,87.05 ± 0.23
Test,20,30,68.12 ± 0.22,85.03 ± 0.14
Val,20,40,72.17 ± 0.39,86.62 ± 0.24
Test,20,40,68.11 ± 0.21,84.34 ± 0.15
Val,25,5,73.18 ± 0.37,86.64 ± 0.24
Test,25,5,68.51 ± 0.21,84.85 ± 0.15
Val,25,10,70.73 ± 0.39,86.44 ± 0.23
Test,25,10,66.36 ± 0.21,83.98 ± 0.14
Val,25,15,73.07 ± 0.39,87.29 ± 0.22
Test,25,15,66.30 ± 0.22,83.20 ± 0.15
Val,25,20,74.25 ± 0.40,87.76 ± 0.23
Test,25,20,70.93 ± 0.22,86.14 ± 0.14
Val,25,25,73.88 ± 0.38,87.99 ± 0.22
Test,25,25,67.53 ± 0.22,84.10 ± 0.15
Val,25,30,71.64 ± 0.39,86.81 ± 0.24
Test,25,30,67.65 ± 0.21,85.08 ± 0.14
Val,25,40,73.47 ± 0.38,87.56 ± 0.22
Test,25,40,67.04 ± 0.22,83.40 ± 0.15
Val,30,5,72.86 ± 0.38,86.88 ± 0.24
Test,30,5,66.04 ± 0.22,83.51 ± 0.14
Val,30,10,73.79 ± 0.38,88.14 ± 0.22
Test,30,10,69.50 ± 0.21,85.29 ± 0.15
Val,30,15,72.65 ± 0.38,87.10 ± 0.23
Test,30,15,66.77 ± 0.21,84.29 ± 0.15
Val,30,20,71.83 ± 0.37,87.51 ± 0.22
Test,30,20,68.14 ± 0.21,84.27 ± 0.15
Val,30,25,72.95 ± 0.38,87.39 ± 0.23
Test,30,25,67.35 ± 0.21,84.62 ± 0.15
Val,30,30,72.51 ± 0.38,86.86 ± 0.24
Test,30,30,67.36 ± 0.21,84.55 ± 0.14
Val,30,40,72.70 ± 0.39,87.77 ± 0.23
Test,30,40,69.47 ± 0.21,86.28 ± 0.14
Val,40,5,73.00 ± 0.38,86.83 ± 0.24
Test,40,5,67.72 ± 0.21,83.40 ± 0.15
Val,40,10,75.34 ± 0.39,87.80 ± 0.23
Test,40,10,69.51 ± 0.22,84.85 ± 0.15
Val,40,15,72.43 ± 0.40,86.91 ± 0.24
Test,40,15,67.88 ± 0.22,84.22 ± 0.15
Val,40,20,73.51 ± 0.38,88.23 ± 0.22
